trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
44,False,"{'a': 0.5, 'e': 0.063927861206707612}",32,25,13.0258081303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
45,False,"{'a': 0.5, 'e': 0.06005466789530798}",32,18,9.18159328956,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,-0.0625,0.5
46,False,"{'a': 0.5, 'e': 0.056416139503777385}",40,24,25.3321307551,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
47,False,"{'a': 0.5, 'e': 0.052998058403355836}",40,30,4.89648781322,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,-0.0625,0.5
48,False,"{'a': 0.5, 'e': 0.049787068367863972}",48,30,18.8353769297,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
1,True,"{'a': 0, 'e': 0}",40,5,18.6546988472,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",1,-0.0625,0.5
2,True,"{'a': 0, 'e': 0}",40,21,-19.4012342719,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.0625,0.5
3,True,"{'a': 0, 'e': 0}",40,2,41.8466322671,"{0: 38, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
4,True,"{'a': 0, 'e': 0}",32,20,19.9461875916,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
5,True,"{'a': 0, 'e': 0}",32,21,16.4404224715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
6,True,"{'a': 0, 'e': 0}",40,21,7.19343286427,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1,-0.0625,0.5
7,True,"{'a': 0, 'e': 0}",32,8,29.5722402591,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
8,True,"{'a': 0, 'e': 0}",48,39,-27.4139309654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.0625,0.5
9,True,"{'a': 0, 'e': 0}",32,0,27.5472582259,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0,-0.0625,0.5
10,True,"{'a': 0, 'e': 0}",32,18,15.3290395128,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.0625,0.5
1,False,"{'a': 0.5, 'e': 0.92774348632855286}",40,0,-312.633650629,"{0: 25, 1: 3, 2: 4, 3: 2, 4: 6}",0,-0.075,0.5
2,False,"{'a': 0.5, 'e': 0.8607079764250577}",40,25,-50.9430653618,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1,-0.075,0.5
3,False,"{'a': 0.5, 'e': 0.79851621875937695}",48,0,-144.697510697,"{0: 33, 1: 2, 2: 12, 3: 0, 4: 1}",0,-0.075,0.5
4,False,"{'a': 0.5, 'e': 0.74081822068171777}",32,0,-110.001880133,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 2}",0,-0.075,0.5
5,False,"{'a': 0.5, 'e': 0.68728927879097212}",32,25,-3.62627366291,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1,-0.075,0.5
6,False,"{'a': 0.5, 'e': 0.63762815162177322}",48,0,-63.1395169377,"{0: 40, 1: 3, 2: 3, 3: 1, 4: 1}",0,-0.075,0.5
7,False,"{'a': 0.5, 'e': 0.591555364366815}",32,9,-100.757272281,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1,-0.075,0.5
8,False,"{'a': 0.5, 'e': 0.54881163609402628}",32,16,-15.0203136848,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1,-0.075,0.5
