trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
10,False,"{'a': 0.1, 'e': 0.5999999999999996}",32,17,-26.1010681062,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1,0.04,0.1
11,False,"{'a': 0.1, 'e': 0.5599999999999996}",32,0,-79.2656965114,"{0: 25, 1: 1, 2: 4, 3: 1, 4: 1}",0,0.04,0.1
12,False,"{'a': 0.1, 'e': 0.5199999999999996}",32,5,-45.441060062,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1,0.04,0.1
13,False,"{'a': 0.1, 'e': 0.4799999999999996}",40,19,7.01665724835,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1,0.04,0.1
14,False,"{'a': 0.1, 'e': 0.4399999999999996}",32,19,-50.2866957539,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1,0.04,0.1
15,False,"{'a': 0.1, 'e': 0.39999999999999963}",32,0,-52.9582915102,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 0}",0,0.04,0.1
16,False,"{'a': 0.1, 'e': 0.35999999999999965}",32,25,3.78035794622,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.04,0.1
17,False,"{'a': 0.1, 'e': 0.3199999999999997}",32,0,-125.584435187,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 2}",0,0.04,0.1
18,False,"{'a': 0.1, 'e': 0.2799999999999997}",40,0,-104.238170532,"{0: 33, 1: 1, 2: 3, 3: 1, 4: 2}",0,0.04,0.1
19,False,"{'a': 0.1, 'e': 0.23999999999999969}",32,0,-22.1885683286,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 0}",0,0.04,0.1
20,False,"{'a': 0.1, 'e': 0.19999999999999968}",32,17,15.6891233599,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.04,0.1
21,False,"{'a': 0.1, 'e': 0.15999999999999967}",48,25,-32.1406202269,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1,0.04,0.1
22,False,"{'a': 0.1, 'e': 0.11999999999999966}",32,26,-22.1644964994,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1,0.04,0.1
23,False,"{'a': 0.1, 'e': 0.07999999999999965}",48,0,-77.3086558072,"{0: 43, 1: 1, 2: 1, 3: 1, 4: 2}",0,0.04,0.1
24,False,"{'a': 0.1, 'e': 0.039999999999999654}",32,26,9.02492354763,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.04,0.1
1,True,"{'a': 0, 'e': 0}",48,18,29.9039667107,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",1,0.04,0.1
2,True,"{'a': 0, 'e': 0}",32,20,16.7855186643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.04,0.1
3,True,"{'a': 0, 'e': 0}",32,0,25.1468932186,"{0: 30, 1: 2, 2: 0, 3: 0, 4: 0}",0,0.04,0.1
4,True,"{'a': 0, 'e': 0}",32,0,25.4461089483,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0,0.04,0.1
5,True,"{'a': 0, 'e': 0}",32,15,-17.5574430214,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.04,0.1
6,True,"{'a': 0, 'e': 0}",40,0,-21.4452383125,"{0: 38, 1: 0, 2: 0, 3: 1, 4: 1}",0,0.04,0.1
